code,es_la
like.the.article.share.it.with.your.friends,"Te gustó este artículo? Compártelo con tus contactos!"
we.are.span.classlineinsglue.up.insspanbr.your.engagement.management.platform,"Somos <span class=""line""><ins>Glue Up</ins></span>"
see.how.are.we.transforming.professional.communities.through.digital.solutions.focusing.on.automation.and.engagement,"Mira como estamos transformando comunidades profesionales a través de soluciones digitales enfocadas en automatización e interacción. "
what.is.glue.up,"¿Qué es Glue Up?"
contact.management,"Administración de contacto "
manage.your.contacts.all.in.one,"Administra tus contactos todo en uno"
streamline.your.processes.and.get.efficient.with.a.first.class.cloud.platform.that.consolidates.all.of.your.operations.and.engagement.with.your.contacts.in.one.place,"Optimiza tus procesos y se eficiente con una plataforma de primer nivel basada en la nube que consolida en un sólo lugar todas tus operaciones e interacción con tus contactos."
history.of.all.interactions,"Historia de todas las interacciones."
easy.import,"Importación fácil"
automatic.synchronization,"Sincronización automática"
labels.and.filters,"Etiquetas y filtros"
opportunities,Oportunidades
automate.your.sales.workflows,"Automatiza tus flujos de trabajo de ventas"
drive.revenue.with.features.designed.to.help.you.close.more.deals.all.team.members.can.simultaneously.track.and.manage.opportunities.through.each.stage.of.the.sales.process,"Genera ingresos con funciones diseñadas para ayudarte a cerrar más negocios. Todos los miembros del equipo pueden rastrear y administrar oportunidades simultáneamente a través de cada etapa del proceso de ventas."
sales.pipeline,"Flujo de Ventas"
import.existing.deals,"Importa tus contratos existentes"
custom.fields,"Campos Personalizados"
deal.stages,"Etapas del trato"
tasks,Tareas
never.miss.a.thing,"No te pierdas ningún detalle"
leverage.every.sales.opportunity.by.assigning.tasks.to.team.members.efficiently.follow.up.on.every.lead.with.tracking.tools.based.on.individual.or.company.contact.profiles,"Maximiza cada oportunidad de negocio asignando tareas a cada miembro de tu equipo. Da seguimiento a cada prospecto de manera eficiente con nuestra herramientas de seguimiento basadas en perfiles de contactos individuales o empresariales."
project.management,"Administración de proyectos"
custom.reminders,"Recordatorios personalizados"
add.notes.files,"Agregar notas y archivos"
push.notifications,"Notificaciones push"
tasks.history,"Historia de Tareas"
contact.company.profile,"Contacto y perfil de la empresa"
understand.engagement.across.activities,"Comprende la Interacción de Diferentes Actividades"
grow.your.community.by.knowing.everything.about.your.contacts.and.organizations,"Haz crecer tu comunidad al saber todo sobre tus contactos y organizaciones."
contact.company.profiles.show.activity.history.so.you.know.which.events.they.have.attended.what.emails.they.read.and.how.much.money.they.have.spent,"Los perfiles de contacto y empresa muestran el historial de actividades para que sepas a qué eventos han asistido, qué correos electrónicos han leído y cuánto dinero han gastado."
contact.insights,"Tendencias de contactos"
customizable.dashboards,"Tableros personalizabas "
finance.history,"Historial de finanzas"
automatic.sync,"Sincronización automática"
smart.lists.advanced.search,"Listas Inteligentes & Búsqueda Avanzada"
personalize.your.approach,"Personaliza tu acercamiento"
easily.search.and.save.contacts.into.different.lists.so.you.can.personalize.your.marketing.activities.and.stay.targeted,"Busca y guarda contactos fácilmente en diferentes listas para que puedas personalizar tus actividades de marketing y mantenerte enfocado."
activate.your.data.to.unify.your.client.communications.strategy.and.stay.in.touch.with.everyone.critical.to.your.organizations.growth,"Activa tus datos para unificar la estrategia de comunicación al cliente y mantenerse en contacto con todos los que son esenciales para el crecimiento de su organización."
list.segmentation,"Segmentación de listas"
tags.and.filters,"Etiquetas & filtros"
easy.importexport,"Importación / exportación fácil "
get.work.span.classlineinsdone.insspan,"Alcanza tus <span class=""line""><ins>Metas </ins></span>"
plan.organize.execute.and.evaluate.all.your.projects.from.one.platform,"Planea, promociona, ejecuta y evalúa todos tus proyectos desde una sola plataforma."
glue.up,"Glue Up"
collaborate.effectively,"Colabora Efectivamente"
manage.your.projects.and.your.teams.from.start.to.finish.get.things.done.from.an.idea.to.a.successful.completion,"Administra tus proyectos y equipos de comienzo a fin. Alcanza tus objetivos desde la idea hasta lograr tus objetivos."
spend.less.time.planning,"Pasa Menos Tiempo Planeando"
collaborate.across.teams.on.multiple.projects.at.once.and.centralize.all.your.tasks.in.one.dashboard.for.easy.access,"Colabora entre equipos en múltiples proyectos a la vez y centraliza todas tus tareas en un tablero que puedes accesar fácilmente."
task.lists,"Listas de Tareas"
kanban.boards,"Tableros Kanban"
team.work,"Trabajo en Equipo"
keep.your.team.focused,"Mantén a tu equipo enfocado"
focus.on.your.projects.and.automate.manual.routine.tasks.that.might.be.slowing.down.your.progress,"Concéntrate en tus proyectos y automatiza las tareas rutinarias manuales que podrían estar ralentizando tu progreso."
workflow.automation,"Automatización del Flujo de Trabajo"
calendar,Calendario
mentioning,"	@Mentioning"
visualizations,Visualizaciones
event.management,"Administration de eventos "
simplify.event.planning,"Simplifica la Planeación de los Eventos"
optimize.the.lifecycle.of.your.offline.and.online.events.from.initial.planning.through.follow.up.to.surveys,"Optimiza el ciclo de tus eventos presenciales o digitales desde la planeación inicial hasta las encuestas de seguimiento."
event.calendar,"Calendario de evento"
event.pages,"Paginas de evento "
email.campaigns,"Campañas de correo electrónico"
ticketing.payments,"Tickets & Pagos"
analytics,Analítica
make.smart.decisions,"Toma decisiones inteligentes"
stay.up.to.date.on.all.your.projects.with.automated.tracking.analytics.and.reports,"Manténte actualizado automáticamente sobre todos tus proyectos con seguimiento, análisis e informes."
real.time.insights,"Informes en tiempo real "
roles.permissions,"Roles y permisos"
pl.reports,"Reportes de Gastos e Ingresos"
dont.just.managebr.your.members.brspan.classlineins.engageinsspan.them,"No sólo administres<br> tus miembros. <br><span class=""line""><ins> Interactua</ins></span> con ellos."
increase.productivity.and.simplify.your.operations.with.the.software.that.helps.you.build.manage.and.engage.your.community.and.provides.you.deep.insights.on.every.member.of.your.community,"Aumenta tu productividad y simplifica tus operaciones con nuestro software que te ayudará a crecer, administrar y captar la atención de tu comunidad, mientras recibes datos clave sobre cada miembro de tu comunidad"
get.to.truly.know.every.member.of.your.community,"Conoce verdaderamente a cada miembro de tu comunidad"
the.only.membership.software.which.helps.you.with.both.keeping.your.members.happy.and.with.generating.new.revenue.streams,"El único sistema de membresías que te ayuda tanto a mantener a tus miembros contentos como a generar nuevos ingresos."
membership.workflows,"Flujo de trabajo de membresías"
automate.manual.processes,"Automatiza Procesos Manuales"
automate.your.membership.management.processes.from.new.applications.through.events.to.renewals.to.maximize.retention.and.to.pamper.your.members.with.a.premium.experience.they.deserve,"Automatiza tus procesos de administración de membresía desde nuevas aplicaciones y eventos, hasta renovaciones para maximizar la retención y brindar a tus miembros la experiencia premium que se merecen."
automatic.reminders,"Recordatorios automáticos"
recurring.payments,"Pagos recurrentes"
digital.applications,"Aplicaciones Digitales"
customizable.workflows,"Flujos de trabajo personalizables"
member.directory,"Director de miembros"
enable.your.community.to.thrive,"Permite Que Tu Comunidad Prospere "
digitize.your.membership.directory.and.provide.your.community.with.instant.access.to.member.profiles.and.information.all.members.can.search.the.directory.via.the.web.platform.or.mobile.apps,"Digitaliza tu directorio de membresía y brinda a tu comunidad acceso instantáneo a perfiles e información de miembros. Todos los miembros pueden buscar en el directorio a través de la plataforma web o aplicaciones móviles."
premium.listings,"Anuncios Premium"
tags.filters,"Etiquetas & Filtros"
custom.roles.permissions,"Roles y permisos personalizados"
member.lists.advanced.search,"Lista de miembros y búsquedas avanzadas"
personalize.your.communication,"Personaliza tu comunicación"
keep.all.member.information.up.to.date.secure.and.centralized.in.one.place.automatically.easily.search.and.save.member.information.into.lists.so.you.can.utilize.the.data.across.the.platform,"Mantén la información de tus miembros segura y centralizada en un solo lugar de forma automática. Encuentra y guarda fácilmente información de tus miembros en listas inteligentes y utiliza esos datos en las distintas herramientas de la plataforma."
automatically.segmented.lists,"Listas segmentadas automáticamente"
easy.search,"Búsqueda fácil"
smart.lists,"Listas Inteligentes"
engagement.history,"Historial de interacción"
member.application,"Aplicación de miembros"
recruit.new.members.effortlessly,"Recluta nuevos miembros sin esfuerzo"
provide.custom.online.application.forms.and.several.membership.types.with.custom.pricing.and.discounts.to.easily.bring.prospective.members.in.the.door,"Proporciona formularios de solicitud en línea personalizados y varios tipos de membresía con precios y descuentos personalizados para atraer fácilmente a a futuros miembros a la puerta."
custom.application.forms,"Formularios de solicitud personalizados"
unlimited.membership.types,"Tipos de Membresías Ilimitadas"
discounts.coupons,"Descuentos y cupones "
automated.invoices.receipts,"Facturas y recibos automatizados"
committee.management,"Administración de Comité "
run.your.operations.from.span.classlineins.anywhere.insspan,"Ejecuta Tus Operaciones desde <span class=""line""><ins> Cualquier Lugar </ins></span>"
streamline.processes.and.manage.your.community.from.palm.of.your.hand.with.a.mobile.app.that.consolidates.all.your.operations.and.engagement,"Optimiza procesos y administra tu comunidad desde la palma de tu mano con la aplicación móvil que consolida todas tus operaciones e interacciones."
glue.up.manager.app,"Aplicación Glue Up Manager "
the.everyday.app.for.successful.managers,"La Aplicación de todos los días para Gerentes Exitosos"
manage.registrations.member.sign.ups.and.renewals.collect.payments.and.facilitate.smooth.check.ins.to.carry.out.successful.events.with.an.app.that.comes.with.each.glue.up.solution,"Administra los registros a eventos, aplicaciones de miembros y renovaciones de membresías. Recibe pagos y facilita el registro de tus asistentes para asegurar el éxito de tu evento mediante nuestra app que contiene todas la herramientas de Glue Up."
do.it.all.from.one.app,"Hazlo todo desde una aplicación"
ultimate.mobile.app.that.has.everything.you.need.to.manage.your.community.anywhere.you.go,"Increíble aplicación para móvil que tiene todo lo que necesitas para administrar tu comunidad desde donde sea."
operations.simplified,"Operaciones simplificadas"
premium.user.experience.battle.tested.for.your.absolute.comfort.our.ceo.uses.manager.app.daily.too,"Una experiencia de usuario premium, probada en batalla para asegurar confort absoluto (nuestro CEO usa nuestra aplicación móvil de administrar diariamente también)."
get.immediate.insights.into.your.communitys.activities.from.events.emails.finance.and.more.in.real.time,"Obtén información inmediata sobre las actividades de tu comunidad a partir de eventos, correos electrónicos, finanzas y más en tiempo real."
events,Eventos
maximize.attendee.experience,"Maximiza la experiencia de tus participantes"
manage.your.events.and.engage.with.your.attendees.even.at.multiple.events.at.the.same.time,"Administra tus eventos e interactúa con tus asistentes en múltiples eventos al mismo tiempo."
create.edit.events,"Crear y editar eventos"
ticket.sales,"Venta de Boletos"
walk.in.registrations,"Registros de asistentes en el momento"
badge.design.printing,"Diseño e impresión de gafetes"
seamless.qr.code.check.ins," Registros de Códigos QR sin problemas"
memberships,Membresías
go.the.brextra.mile.for.your.members,"Ve Más Allá <br>por Tus Miembros"
impact.your.members.while.you.are.waiting.in.a.cab.stuck.on.a.plane.at.hospital.or.anywhere.else.you.can.access.the.internet,"Interactúa con los miembros de tu comunidad mientras estás en el tráfico, en un vuelo, en el hospital o en cualquier lugar donde tengas una conexión a internet."
review.applications,"Revisar aplicaciones"
renewal.management,"Administración de renovación"
membership.directory,"Directorio de Miembros"
member.profile,"Perfil de miembro"
newsletters.updates,"Boletines y Actualizaciones"
team.management,"Administración de Equipos"
work.across.teams.on.multiple.projects.at.once.and.centralize.all.your.tasks.in.one.dashboard.for.easy.access," Trabaja en equipos en varios proyectos a la misma vez y centraliza todas tus tareas en un panel para un fácil acceso."
understand.engagement.take.action,"Comprende la Interacción y Toma Acción"
stay.up.to.date.on.everything.you.have.going.on.with.automated.tracking.analytics.and.reports.in.real.time,"Manténte actualizado en todo lo que tienes que hacer con seguimiento, análisis e informes automatizados."
live.check.in.statistics,"Estadísticas de Registro en tiempo real"
stay.in.the.span.classlineinsknowinsspanbralways,"Siempre al pié <br> del cañon"
centralize.all.your.data.in.one.place.and.get.deep.insights.into.your.community.so.you.can.understand.engagement.and.improve.your.campaigns,"Centraliza todos tus datos en un sólo lugar y obtén una visión profunda de tu comunidad para que puedas comprender la interacción y mejorar tus campañas."
discover.the.journey.of.every.person.in.your.community,"Descubre el viaje de cada persona en tu comunidad"
crm.built.for.engagement.that.helps.you.manage.all.your.contacts.and.generate.more.revenue,"CRM creado con el compromiso de ayudar a administrar todos tus contactos y generar más ingresos."
get.a.brand.new.span.classlineinslookinsspan,"Consigue una nueva <span class=""line""><ins>Vista</ins></span>"
upgrade.your.online.presence.with.a.professional.mobile.responsive.website.that.seamlessly.integrates.with.your.glue.up.platform,"Actualiza tu presencia en línea con una página web profesional y de respuesta móvil que fácilmente se integra a la plataforma de Glue Up."
first.impressions.matter,"Las primeras impresiones importan"
stay.connected.with.your.communities.and.use.your.website.to.build.greater.engagement,"Quédate conectado con tus comunidades y utiliza tu página web para crear mayor interacción."
feature.everything.automatically,"Presenta todo automáticamente"
a.website.that.updates.itself.as.you.create.events.or.add.new.memberships.on.glue.up,"Un sitio web que se actualiza automáticamente mientras tu creas eventos o agrega nuevas membresías en Glue Up."
go.live.in.a.week,"Vete en vivo en una semana "
have.your.new.website.up.and.running.in.less.than.a.week.and.generate.additional.revenue,"Ten tu nuevo sitio web en funcionamiento en menos de una semana y genere ingresos adicionales."
make.it.simple.for.everyone,"Hazlo simple para todos"
premium.user.experience.battle.tested.for.your.and.all.your.audiencess.absolute.comfort,"Una experiencia de usuario premium, probada en batalla para asegurar confort absoluto para ti y toda tu audiencia."
automation,Automatización
website.that.just.works,"Una Página Web que Simplemente Funciona"
feature.events.member.applications.and.other.things.you.create.with.glue.up.platform.to.your.website.visitors.in.real.time.without.updating.anything,"Presenta eventos, aplicaciones para miembros y otras cosas que crees con la plataforma Glue Up para los visitantes de tu sitio web en tiempo real sin actualizar nada."
easy.setup,"Configuración fácil"
seo.optimized,"Optimización SEO"
job.boards,"Bolsa de Trabajo"
mobile.friendly,"Adaptado a dispositivos móviles"
community.hub,"Centro de la comunidad"
a.place.to.engage.and.exchange.knowledge,"Un lugar para participar e intercambiar conocimientos"
give.your.community.a.digital.place.where.they.can.share.their.ideas.discuss.various.topic.and.stay.social.even.when.meeting.in.person.is.not.an.option,"Brinda a tu comunidad un lugar digital donde puedan compartir sus ideas, discutir varios temas y mantenerse social incluso cuando no sea posible reunirse en persona."
live.feed,"En Vivo"
public.private.groups,"Grupos públicos y privados"
announcements,Announcements
engagement,Interaction
do.more.than.whats.expected,"Haz más de lo esperado"
digitize.all.processes.and.deliver.premium.experience.your.community.deserves,"Digitaliza todos los procesos y brinda a experiencia premium que tu comunidad merece."
member.only.content,"Contenido exclusivo para miembros"
people.profiles,"Perfiles de las Personas"
latest.news,"Noticas Recientes"
admin,Administrador
stay.in.charge,"Quédate a Cargo"
you.are.the.boss.of.your.website.easily.update.your.website.or.add.new.pages.ads.or.job.listings.anytime,"Tu eres el jefe de tu página web. Fácilmente actualiza en cualquier momento tu página web o agrega nuevas páginas, anuncios o listados de trabajos. "
cms.training,"Entrenamiento CMS"
ssl.certificate,"Certificado SSL"
monetization.tools,"Herramientas de monetización"
automate.all.yourbrfinance.processes.and.span.classlineins.grow.insspan.revenue,"Automatiza Todos Tus<br>Procesos de Finanzas e <span class=""line""><ins> Incrementa </ins></span> Ingresos "
manage.invoices.deliver.receipts.grow.revenue.and.accept.payments.in.multiple.currencies.with.credit.cards.bank.transfers.or.other.online.payments,"Administra facturas, da recibos, crece tus ingresos, acepta pagos en multiples monedas con tarjetas de crédito, transferencias bancarias y otros tipos de pagos en línea."
a.complete.finance.toolkit,"Un paquete de herramientas para finanzas"
streamline.the.entire.transaction.experience.for.your.organization.and.for.every.member.of.your.community,"Optimiza toda la experiencia de la transacción para tu organización y para cada uno de los miembros de tu comunidad."
collect.money,"Recopila Dinero"
drive.revenue.in.multiple.currencies,"Genera ingresos en múltiples monedas"
meet.the.needs.of.your.community.by.accepting.payments.in.100.currencies.including,"Satisface las necesidades de tu comunidad al aceptar pagos en más de 100 monedas distintas, incluyendo:"
us.dollar.chinese.rmb.hong.kong.dollar.euro.taiwan.dollar.singapore.dollar.malaysian.ringgit,"Dólar estadounidense, RMB chino, Dólar de Hong Kong, Euro, Dólar de Taiwán, Dólar de Singapur, Ringgit de Malasia,"
british.pound.south.korean.won.japanese.yen.indonesian.rupiah.indian.rupee.russian.ruble.and.other.currencies,"Libra británica, Won surcoreano, Yen japonés, Rupia indonesia, Rupia india, Rublo ruso y otras monedas."
multi.currency.support,"Soporte Multi-moneda"
local.payment.methods,"Métodos de pago locales"
in.person.payments,"Pagos en sitio"
dispute.handling,"Manejo de disputas"
security,Seguridad
enable.secure.smooth.payments,"Habilita pagos seguros y sin problemas"
facilitate.easy.secure.payments.with.online.digital.payment.gateways.credit.cards.and.bank.transfers.over.encrypted.ssl.connections,"Facilita los pagos fáciles y seguros con pasarelas de pago digital en línea, tarjetas de crédito y transferencias bancarias a través de conexiones SSL encriptadas."
credit.card.numbers.and.other.electronic.financial.data.are.not.stored.in.any.form,"Los números de tarjeta de crédito y otros datos financieros electrónicos no son almacenados."
ssl.protected,"Protección SSL"
gdpr.compliant,"Queja GDPR"
pci.dss.certified,"Certificado por PCI DSS"
financial.journey,"Viaje financiero"
manage.your.finances.effortlessly,"Administra tus finanzas sin esfuerzo"
automate.your.complete.financial.journey.from.online.payments.through.ticketing.and.invoice.generation.all.the.way.until.your.taxes.are.due,"Automatiza todo tu recorrido financiero desde los pagos en línea, emisión de boletos y la generación de facturas hasta el vencimiento de tus impuestos."
automatic.invoicing,"Facturación automática"
custom.reminders.notifications,"Recordatorios personalizados y notificaciones"
customizable.tax.setup,"Configuración de impuestos personalizable"
coupons.discounts,"Cupones y Descuentos"
analytics.reports,"Análisis e Informes"
centralize.and.track.all.payments,"Centraliza y Rastrea todos los Pagos"
keep.your.payment.processing.centralized.in.one.place.stay.up.to.date.on.all.your.online.and.offline.revenue.streams.with.automated.tracking.analytics.and.reports,"Mantén el procesamiento de pagos centralizado en un sólo lugar. Mantente actualizado sobre todas tus fuentes de ingreso, tanto digitales como físicas con seguimiento automatizado de pagos, analítica y reportes."
real.time.analytics,"Analítica en tiempo real"
easy.export,"Exportación fácil"
payment.gateways,"Paygage es la opción más conveniente y segura para organizaciones que manejan membresías y quieren realizar cobros en línea."
let.your.community.pay.the.way.they.like,"Ofrece a tu comunidad múltiples opciones de pago"
enable.your.community.to.pay.you.securely.and.conveniently.using.their.preferred.credit.debit.or.prepaid.cards,"Permite que tu comunidad te pague de manera segura y conveniente utilizando sus tarjetas de crédito, débito o prepaga."
via.bank.transfer.digital.wallets.mobile.money.or.cash.thanks.to.our.wide.payment.gateway.oferring,"Por medio de transferencia bancaria, billeteras digitales, dinero móvil o efectivo gracias a nuestra amplia pasarela de pago."
alipay,Alipay
mainland.china.hong.kong,"China continental y Hong Kong"
braintree,Braintree
globally,Globalmente
flutterwave,Flutterwave
mpesa.across.the.african.continent,"mPesa - En todo el continente Africano"
globalpayment,GlobalPayment
inicis,Inicis
korea,Corea
instamojo,InstaMojo
india,India
paymaya,PayMaya
the.philippines,"Las Filipinas"
paypal,Paypal
payfort,PayFort
united.arab.emirates.egypt.saudi.arabia.jordan.lebanon.and.qatar," Emiratos Árabes Unidos, Egipto, Arabia Saudita, Jordania, Líbano y Qatar."
paygage,Paygage
usa.and.canada,"USA y Canadá"
stripe,Stripe
wechat.pay,"Pago de WeChat"
yandex,Yandex
yeepay,YeePay
advanced.integrations,"Integraciones Avanzadas"
maximize.your.financial.workflows,"Maximiza tus flujos de trabajo financieros"
save.time.and.eliminate.manual.tasks.by.connecting.glue.up.to.your.favorite.accounting.software,"Ahorra tiempo y elimina tareas manuales al conectar Glue Up a tu sistema favorito de contabilidad."
quickbooks,QuickBooks
get.a.full.accounting.experience.by.combining.the.best.of.glue.ups.all.in.one.engagement.management.software.with.easy.plugplay.quickbooks.integration.that.can.be.set.up.in.a.few.clicks,"Obtén una experiencia de contabilidad completa al combinar lo mejor del software de administración de interacciones todo en uno de Glue Up con la fácil integración de QuickBooks plug & play que se puede configurar con unos pocos clics."
xero,Xero
synchronize.and.update.your.invoices.from.both.apps.collect.tickets.and.memberships.as.line.items.and.manage.both.finance.systems.effortlessly," Sincroniza y actualiza tus facturas desde ambas aplicaciones, recolecta boletos y membresías como elementos de línea y administra ambos sistemas financieros sin esfuerzo."
helping.you.build.brspan.classlineins.stronger.insspan.communities,"Te ayudamos a construir <br><span class=""line""><ins> Grandes </ins></span> Comunidades "
business.never.sleeps.neither.will.your.community,"Los negocios nunca duermen, tu comunidad tampoco lo hará"
give.your.community.a.place.where.they.can.connect.with.you.and.your.mission.365.days.a.year.even.when.meeting.face.to.face.isnt.possible,"Brinda a tu comunidad un lugar donde puedan conectarse contigo y tu misión los 365 días del año, incluso cuando no sea posible reunirse cara a cara."
comments.discussions,"Comentarios y Discusiones"
social.sharing,"Compartir en Redes Sociales"
spark.discussions.in.open.or.private.groups,"Empieza Discusiones en Grupos Públicos o Privados"
make.it.easy.for.everyone.to.find.like.minded.people.and.topics.that.matter.to.them.so.they.can.network.with.each.other.and.exchange.their.opinions,"Facilita la interacción de miembros con intereses similares y temas en común para que puedan conectar y intercambiar ideas y opiniones."
custom.reactions,"Reacciones personalizadas"
digital.business.cards,"Tarjetas de Presentación Digitales "
help.business.happen,"Ayuda a que suceda el negocio"
enable.your.community.to.create.and.share.their.own.digital.business.cards.manage.their.contacts.and.effectively.network.with.everyone.no.matter.where.they.are,"Permite que tu comunidad cree y compartan sus propias tarjetas de presentación digitales"
personal.qr.codes,"Códigos QR Personalizados"
available.on.all.devices,"Disponible en todos los dispositivos"
business.card.scanner,"Escáner de tarjetas de presentación"
stored.in.individual.crm,"Almacenamiento Individual en el CRM"
conversations,Conversaciones
let.people.talk,"Deja que la gente hable "
make.it.your.business.to.enable.everyone.in.your.community.develop.lasting.relationships.with.you.and.each.other.via.1.on.1.chats.with.option.to.share.business.card,"Que el objetivo de tu organización sea que tus miembros puedan desarrollar relaciones duraderas contigo y tu comunidad mediante chats 1 a 1 la opción de compartir tarjetas de presentación virtuales."
1.on.1.direct.chat,"Chat directo 1 a 1"
gifs.and.emojis,"GIFs y Emojis"
media.location.sharing,"Comparte Medios y Ubicación"
custom.privacy.settings,"Configuraciones de privacidad personalizadas"
set.the.rules.of.engagement,"Pon las Reglas de la Interacción"
